Project_id,Project name,Project link,VT link,VT detection result,Scan Result,Propogation link,Propogation method
0,hcf3,https://github.com/cmllr/hcf3,https://www.virustotal.com/gui/file/2b74fe65bae6879a84b728f2360105441431ee6e4d940a2ab2192e1b36e3bd31/detection/,1/58,Pass,
1,Cobalt_Strike_wiki,https://github.com/Origing/Cobalt_Strike_wiki,https://www.virustotal.com/gui/file/621e8f27276d0aa6fdc3eb60c43e3f9b6a409a583dc76469b2f51c3ce97ae666/detection/,24/59,Fail,
2,react-boilerplate,https://github.com/mukulvtilak/react-boilerplate,https://www.virustotal.com/gui/file/8d18253185beef5e1769ddd0c15f8daec8b046a65ce214aeaaed149420c84f89/detection/,0/59,Pass,
3,scala-rpn,https://github.com/VEINHORN/scala-rpn,https://www.virustotal.com/gui/file/c81944a414a4eee7bc2217721db02e1b69ebf2d7c0e493ca7d4942ca2ce0398c/detection/,0/57,Pass,
4,camel-project2,https://github.com/The-Ryan-Mobley/camel-project2,https://www.virustotal.com/gui/file/37a74c89d5d349f6be47263840309ef660b7b951491df0ab11508b0bd9f26ecd/detection/,0/59,Pass,
5,p2p-index,https://github.com/f13end/p2p-index,https://www.virustotal.com/gui/file/035196a03bedc594690fd964bb657de29b2a6b5df6de0d4a8eab0aad888a5a36/detection/,0/59,Pass,
6,jcu,https://github.com/johnrieth/jcu,https://www.virustotal.com/gui/file/e0770dda19c2b14b2a7128d2a8e5737ebdd039d71c54f576be2ac00f36b45161/detection/,0/58,Pass,
7,bluekeep-1,https://github.com/cephurs/bluekeep-1,https://www.virustotal.com/gui/file/623b310f2dc4cf087bdd2eb5315bcbc412c3d9a58e5d4ef078d484e2ff4be2b0/detection/,0/58,Pass,
8,grs,https://github.com/alcho/grs,https://www.virustotal.com/gui/file/b2bd1a5025ebae19332f62ecaaa3c105c68dfbd2ec4d7207d8cc49f69cba4e61/detection/,0/59,Pass,
9,Fonctionnement,https://github.com/edodo7/Fonctionnement,https://www.virustotal.com/gui/file/74c0e480371dd913dfa138e2782d124cb7ed93f9669a5385dbc22971b1be89b0/detection/,0/59,Pass,
10,tweek,https://github.com/thezedwards/tweek,https://www.virustotal.com/gui/file/ae9b6527659bc6d1305071c4144a2d35e5520dac24cb17b3883c1323c2bf22bb/detection/,0/57,Pass,
11,SnappyDB,https://github.com/Jason-Cooke/SnappyDB,https://www.virustotal.com/gui/file/0206fa6cfcc186faf84d2db6387ec90cbf6c9bcd3adedfc73f32d2075fb6ded0/detection/,0/58,Pass,
12,learn_tornado,https://github.com/fuzzing0day/learn_tornado,https://www.virustotal.com/gui/file/3515935af5aa459db39526e994e82a80481b224b50a771f69f37d187bda96f03/detection/,0/58,Pass,
13,ratone,https://github.com/danigargu/ratone,https://www.virustotal.com/gui/file/c737bba4c7923347ca6584a993b3cdd6114695c3e5a84b1c222ed6470a2556e6/detection/,0/59,Pass,
14,multisim-toggle,https://github.com/chijure/multisim-toggle,https://www.virustotal.com/gui/file/ca573866321eadf1aad2d0306b799ffc12879c4aa85f622d275241018ebeb34f/detection/,0/58,Pass,
15,hqemu,https://github.com/cokesme/hqemu,https://www.virustotal.com/gui/file/59a1b447431e81472ad1c09c2e57f195b8bd2d92107d4987a68902ab72f9e8d8/detection/,0/58,Pass,
16,teaching-ansible-demo,https://github.com/AmadouDiallo4/teaching-ansible-demo,https://www.virustotal.com/gui/file/9fe31bccad6e0d1174d40d2b2e6aa9c86ac7479e323d51918be505474c5d018f/detection/,0/58,Pass,
17,NavbarDemo,https://github.com/miragarden/NavbarDemo,https://www.virustotal.com/gui/file/38684eb71c2f562374d827ef69c35f8fc443ca97cbcbb108c7c42ae2e3aba717/detection/,0/58,Pass,
18,curso-python-algebra,https://github.com/mauriballes/curso-python-algebra,https://www.virustotal.com/gui/file/890017b30a1a41c1c9a294ad8375be3b09159719adc0818d01e72b25a7c5ee84/detection/,0/58,Pass,
19,DeclareDesign,https://github.com/nfultz/DeclareDesign,https://www.virustotal.com/gui/file/315a4e86a18f1160bb0cb9b3954097a116ccbb88e45a550f999c0b33b1e8901a/detection/,0/57,Pass,
20,DuiLib_Ultimate,https://github.com/apdbg/DuiLib_Ultimate,https://www.virustotal.com/gui/file/ec0ba24fd0cd2b610d91895c67bf1976138fb1f518432dd26e9925173d886b5c/detection/,1/54,Pass,
21,go_config,https://github.com/XiaoShenLong/go_config,https://www.virustotal.com/gui/file/b726de236f2a25d6dcb27eb26852598ad3f334c26f96be4e97bcedfc8ab15152/detection/,0/55,Pass,
22,vuln,https://github.com/shadowdiscover/vuln,https://www.virustotal.com/gui/file/a59ddd9f4b29c0cafd17c077d9a5a6d91e60b2961cff979f72049f41bd85e6eb/detection/,0/58,Pass,
23,DVSA,https://github.com/darkerego/DVSA,https://www.virustotal.com/gui/file/84a73c1c2f0a61d99b04ab1865d8f92c4c1f2619732748e734b974e4ab4895f5/detection/,0/56,Pass,
24,rabobank-api-python,https://github.com/terminalkitten/rabobank-api-python,https://www.virustotal.com/gui/file/192f6d203cd4d70e995d0c7f82c65c1c5e5b7f131115cb918a53208974b23964/detection/,0/59,Pass,
25,sniffer-agent,https://github.com/triplekill/sniffer-agent,https://www.virustotal.com/gui/file/5abc465bce2b06b41985efab437c30e308cc067d0e479897c40001bc98fc4d08/detection/,0/58,Pass,
26,HelloWorld,https://github.com/Swavis/HelloWorld,https://www.virustotal.com/gui/file/72e16e41c6520a8ff3a6366b035da3c4ed7f00e85cac65742bd311069fe6d144/detection/,0/57,Pass,
27,dry-web-blog,https://github.com/abinoam/dry-web-blog,https://www.virustotal.com/gui/file/1e6271f72a7d4a8e9a00b5a42c4b82b519ce86f180e9e2cfc75449a1927dba9b/detection/,0/59,Pass,
28,certbook,https://github.com/webs3c/certbook,N/A,Download Error,ERROR,
29,DontFearTheProfunctorOptics,https://github.com/Lucassifoni/DontFearTheProfunctorOptics,https://www.virustotal.com/gui/file/e533196c22a8fa03915e10d64b33a3a8b6e91bc333ec704ac67c029fde59703b/detection/,0/58,Pass,
30,AngelSword,https://github.com/xingkong123600/AngelSword,https://www.virustotal.com/gui/file/707366828591e1da8620b9480734995c8ed701b591663f660da31ac138ec8b2d/detection/,4/59,Pass,
31,r2con-2017,https://github.com/fr0zn/r2con-2017,https://www.virustotal.com/gui/file/e534d980c7e9634414291dbe4951fed61e9eae23db864764e655b9490eefcf8f/detection/,36/60,Fail,
32,browser-laptop,https://github.com/ccavxx/browser-laptop,https://www.virustotal.com/gui/file/14c3222ecc76894082809be05d83f5df1d9cdc79fb42f2a74fd70b27f3884a75/detection/,0/58,Pass,
